mfood,mlinemate,mderaumere,msibur,mmendiane,mphiras,mthystame,lfood,llinemate,lderaumere,lsibur,lmendiane,lphiras,lthystame,enemy,response
1,3,1,1,2,0,3,1,0,0,1,1,0,0,1,Take food
2,1,3,3,2,1,0,1,1,1,1,1,1,1,1,Take food
10,2,3,2,0,1,1,1,0,0,1,0,1,0,1,Take phiras
11,3,1,0,2,3,3,1,0,1,1,1,1,0,1,Take deraumere
5,3,2,1,3,1,1,1,1,1,0,0,0,0,1,Take food
14,0,3,2,1,1,2,1,0,1,0,1,0,0,1,Take mendiane
7,1,1,1,3,3,0,1,0,1,0,1,0,0,1,Take deraumere
11,0,2,0,2,0,0,1,0,0,0,0,0,0,1,Take food
1,2,0,0,3,3,3,1,1,1,0,1,0,1,1,Take food
8,3,1,3,2,0,1,1,0,0,0,0,0,0,1,Take food
3,0,2,3,1,2,2,1,1,0,1,1,0,0,1,Take food
15,2,1,1,0,0,2,1,1,0,0,0,1,0,1,Take phiras
15,0,1,0,3,0,3,1,1,1,0,0,1,1,1,Take phiras
10,3,3,0,0,3,1,1,0,1,1,1,0,1,1,Take sibur
10,1,2,2,3,3,3,1,0,1,1,0,0,1,1,Take food
2,0,1,2,1,2,1,1,1,1,1,1,1,1,1,Take food
12,0,0,3,2,1,2,1,1,0,0,0,1,0,1,Take linemate
14,3,2,3,2,1,3,1,1,0,0,0,1,1,1,Take phiras
5,2,2,2,2,0,2,1,0,1,0,1,0,1,1,Take food
